Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
71.1,892738662760,5600,159417618.3,3108351.0,736,7655121760,940902912.9,StartEnd,NCCL:ReduceScatter
25.4,318825779089,5648,56449323.5,1120592.0,704,1955576421,283019520.3,StartEnd,NCCL:AllGather
1.0,12000506880,12288,976603.8,14432.0,7584,1847920672,37151786.3,PushPop,:nvte_fused_rope_backward
0.8,10654871413,304,35048919.1,4096.0,832,3354578478,332587270.2,StartEnd,NCCL:AllReduce
0.5,5972076192,628,9509675.5,51920.0,37760,725969568,71188009.3,StartEnd,NCCL:API Group
0.5,5965424384,628,9499083.4,43456.0,32512,725944064,71186236.8,StartEnd,NCCL:GroupLaunch
0.3,3316982368,73728,44989.5,42816.0,23072,45440000,288875.0,PushPop,:nvte_cublas_gemm_v2
0.2,2531066752,12288,205978.7,61056.0,7168,495627360,8874842.9,PushPop,:nvte_flash_attn_bwd
0.2,2040748544,12288,166076.5,36608.0,5632,502655136,7752838.0,PushPop,:nvte_flash_attn_fwd
0.0,346180768,25088,13798.7,16784.0,1312,9842336,86671.0,PushPop,:nvte_rmsnorm_bwd
0.0,311896512,25088,12432.1,16192.0,1664,16778752,107971.3,PushPop,:nvte_rmsnorm_fwd
0.0,230649600,12288,18770.3,17664.0,11488,7988640,72329.4,PushPop,:nvte_fused_rope_forward
0.0,124719872,6144,20299.5,18848.0,15232,5617376,71995.6,PushPop,:nvte_extract_seed_and_offset
0.0,42348096,256,165422.3,91232.0,68960,2356544,382905.6,PushPop,CCCL:cub::DeviceRadixSort
0.0,39102144,16,2443884.0,91584.0,67328,9868832,4220655.8,PushPop,:nvte_multi_tensor_l2norm_cuda
0.0,25557056,28,912752.0,71264.0,17024,8404448,2294411.1,PushPop,:nvte_multi_tensor_adam_param_remainder_cuda
0.0,10660064,256,41640.9,17904.0,13792,1927104,161067.6,PushPop,CCCL:cub::DeviceSelect::UniqueByKey
0.0,10084192,8,1260524.0,1243072.0,636128,1860288,472467.1,PushPop,cuBLAS:cublasCreate_v2
0.0,9464608,256,36971.1,19360.0,14496,1328224,119792.7,PushPop,CCCL:cub::DeviceScan::ExclusiveScan
0.0,5718272,624,9163.9,5584.0,2784,81760,8241.8,StartEnd,NCCL:GroupRuntime
0.0,2384672,16,149042.0,81920.0,54400,451552,132946.5,PushPop,:nvte_multi_tensor_scale_cuda
0.0,46208,16,2888.0,2880.0,1440,4864,843.0,StartEnd,NCCL:ncclCommFinalize
0.0,22656,4,5664.0,5728.0,4320,6880,1148.4,StartEnd,NCCL:Broadcast
