date,model_size,partition,feature,status,usable_for_claims,nodes,gpus,micro_batch_size,global_batch_size,steps,logged_tokens_per_sec_per_gpu,parsed_iterations,parsed_final,avg_excluding_first2,median_excluding_first2,min_excluding_first2,max_excluding_first2,avg_last_half,median_last_half,defensible_metric_name,defensible_metric,log_path,iteration_values
2026-04-29,125m,unknown,setup-smoke-test,submitted,no,1,4,16,256,2,,0,,,,,,,,,,,
2026-04-29,125m,debug,debug-smoke-test,completed,no,1,4,16,256,2,24807,2,24807,21983,21983,19159,24807,24807,24807,avg_excluding_first2,21983,logs/gipfel-throughput-125m-2s-1n-1985345.log,1:19159;2:24807
2026-04-29,760m,debug,debug-setup-baseline,completed,no,1,4,4,256,20,42907,20,27903,38949,38814,27903,46758,38700,39687,avg_last_half,38700,logs/gipfel-throughput-760m-20s-1n-1985414.log,1:16808;2:22859;3:36439;4:38616;5:33014;6:37595;7:44964;8:42151;9:46758;10:34543;11:35483;12:40656;13:40363;14:39011;15:35332;16:45258;17:43436;18:42907;19:36648;20:27903
2026-04-29,8b,normal,normal-baseline,completed,yes,1,4,2,256,50,10811,50,10751,10800,10805,10628,10911,10789,10794,avg_last_half,10789,logs/gipfel-throughput-8b-50s-1n-1985488.log,1:8477;2:9432;3:10628;4:10641;5:10639;6:10737;7:10725;8:10811;9:10837;10:10806;11:10811;12:10809;13:10870;14:10843;15:10868;16:10872;17:10859;18:10859;19:10854;20:10893;21:10911;22:10873;23:10858;24:10854;25:10830;26:10817;27:10813;28:10808;29:10824;30:10818;31:10813;32:10801;33:10803;34:10803;35:10804;36:10801;37:10802;38:10794;39:10777;40:10784;41:10783;42:10776;43:10773;44:10775;45:10769;46:10774;47:10761;48:10754;49:10757;50:10751
2026-05-14,760m,debug,post-merge-debug-sanity-too-long,cancelled,no,1,4,4,256,20,11246,8,13369,10844,10598,8106,13369,10844,10598,avg_excluding_first2,10844,logs/gipfel-throughput-760m-20s-1n-2227455.log,1:9097;2:9694;3:9969;4:13358;5:11226;6:9035;7:8106;8:13369
2026-05-14,760m,debug,post-merge-debug-sanity,completed,no,1,4,4,256,8,11265,8,11265,11011,11256,8152,12561,11565,11256,avg_excluding_first2,11011,logs/gipfel-throughput-760m-8s-1n-2227553.log,1:7589;2:8181;3:8152;4:11652;5:11188;6:11246;7:12561;8:11265
2026-05-14,760m,debug,nsys-first-profile,completed,no,1,4,4,256,4,11266,4,11266,10960,10960,10655,11266,10960,10960,avg_excluding_first2,10960,logs/gipfel-throughput-760m-4s-1n-2227705.log,1:9482;2:9784;3:10655;4:11266
2026-05-14,760m,debug,no-distributed-optimizer-debug-invalid-pa,failed,no,1,4,4,256,8,,0,,,,,,,,,,logs/gipfel-throughput-760m-8s-1n-2228691.log,
2026-05-14,760m,debug,no-distributed-optimizer-debug,completed,no,1,4,4,256,8,20396,8,20396,16371,15811,14197,20396,16877,16457,avg_excluding_first2,16371,logs/gipfel-throughput-760m-8s-1n-2228731.log,1:12558;2:14269;3:14757;4:15961;5:15661;6:17253;7:14197;8:20396
2026-05-14,760m,normal,no-distributed-optimizer-normal-20s,completed,yes,1,4,4,256,20,27611,20,27611,32054,32234,27203,39073,32555,32394,avg_last_half,32555,logs/gipfel-throughput-760m-20s-1n-2229470.log,1:16435;2:13320;3:27203;4:32776;5:30235;6:33781;7:31402;8:34940;9:33225;10:27856;11:29022;12:27269;13:36330;14:31691;15:33096;16:33308;17:39073;18:37137;19:31012;20:27611
2026-05-14,760m,normal,distributed-optimizer-normal-20s-baseline,completed,yes,1,4,4,256,20,27611,20,27611,32737,32666,27287,39289,32565,32225,avg_last_half,32565,logs/gipfel-throughput-760m-20s-1n-2229668.log,1:15199;2:15772;3:39289;4:32785;5:30192;6:33841;7:31395;8:35721;9:32548;10:27845;11:29013;12:27287;13:36758;14:31376;15:33074;16:33322;17:39056;18:37133;19:31024;20:27611
2026-05-14,760m,normal,mbs8-normal-20s,completed,yes,1,4,8,256,20,15610,20,15610,13120,12720,8941,17341,14659,15284,avg_last_half,14659,logs/gipfel-throughput-760m-20s-1n-2231926.log,1:8515;2:8815;3:8941;4:9475;5:10777;6:11123;7:10136;8:12417;9:13683;10:13022;11:16535;12:11428;13:12176;14:13336;15:11574;16:16825;17:17341;18:14959;19:16803;20:15610
2026-05-14,760m,normal,mbs2-normal-20s,completed,yes,1,4,2,256,20,14747,20,14747,15051,14720,11532,18641,16112,15448,avg_last_half,16112,logs/gipfel-throughput-760m-20s-1n-2231946.log,1:10328;2:11467;3:11532;4:14542;5:13192;6:12183;7:15589;8:12441;9:14391;10:15934;11:13408;12:14693;13:14955;14:18432;15:18035;16:14548;17:15942;18:18641;19:17718;20:14747
2026-05-14,760m,normal,normal-baseline-50s,completed,yes,1,4,4,256,50,37375,50,37375,42228,41759,13598,74203,43742,42732,avg_last_half,43742,logs/gipfel-throughput-760m-50s-1n-2235436.log,1:12971;2:12270;3:14820;4:13598;5:53075;6:67552;7:69393;8:64133;9:74203;10:68518;11:24123;12:14776;13:25479;14:26996;15:29294;16:36795;17:20629;18:73052;19:51844;20:34277;21:43803;22:41553;23:41965;24:23366;25:20173;26:59990;27:35542;28:49099;29:37450;30:39942;31:33761;32:51972;33:34432;34:32761;35:13840;36:42181;37:42732;38:49442;39:38480;40:32460;41:58417;42:54864;43:55699;44:51121;45:55981;46:17359;47:55686;48:61702;49:51256;50:37375
2026-05-15,760m,normal,nsys-normal-profile-timeout,timeout,no,1,4,4,256,8,28336,8,28336,24607,25296,19697,29065,25623,26865,avg_excluding_first2,24607,logs/gipfel-throughput-760m-8s-1n-2235710.log,1:16544;2:19752;3:19950;4:25198;5:19697;6:25394;7:29065;8:28336
